Product Name,Product Code,Category Name,Type (rent/sell),Color,Size,Rent Price,Sell Price,Discount %,Rental Gap (Max Times),Design Details,Image Filename,Status
ACHAKAN-478[40],A-478[40],ACHAKAN-ANGRAKHU,RENT,PICH,40,3500,,,1,PICH MORPICHHH,,AVAILIBLE 
ACHAKAN-484[42],A-484[42],ACHAKAN-ANGRAKHU,RENT,KESHARI,42,3500,,,1,KESHARI PICH,,AVAILIBLE 
ACHAKAN-488[36],A-488[36],ACHAKAN-ANGRAKHU,RENT,CREAM,36,3500,,,1,CREAM MARUN TAPKI VALU,,AVAILIBLE 
ACHAKAN-493[40],A-493[40],ACHAKAN-ANGRAKHU,RENT,KESHARI,40,3500,,,1,KESHARI PICH,,AVAILIBLE 
ANGRAKHU-495[34],A-495[34],ACHAKAN-ANGRAKHU,RENT,GULABI,34,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ACHAKAN-496[44],A-496[44],ACHAKAN-ANGRAKHU,RENT,KESHARI,44,3500,,,1,KESHARI PICH,,AVAILIBLE 
ANGRAKHU-503[36],A-503[36],ACHAKAN-ANGRAKHU,RENT,GULABI,36,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ACHAKAN-512[32],A-512[32],ACHAKAN-ANGRAKHU,RENT,CREAM,32,3500,,,1,CREAM MARUN TAPKI VALU,,AVAILIBLE 
ANGRAKHU-517[34],A-517[34],ACHAKAN-ANGRAKHU,RENT,GULABI,34,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ACHAKAN-521[44],A-521[44],ACHAKAN-ANGRAKHU,RENT,GULABI,44,3500,,,1,GULABI FUL VALU,,AVAILIBLE 
ANGRAKHU-522[38],A-522[38],ACHAKAN-ANGRAKHU,RENT,GULABI,38,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ANGRAKHU-526[48],A-526[48],ACHAKAN-ANGRAKHU,RENT,GULABI,48,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ACHAKAN-529[34],A-529[34],ACHAKAN-ANGRAKHU,RENT,CREAM,34,3500,,,1,CREAM PANDADI VALU,,AVAILIBLE 
ANGRAKHU-532[34],A-532[34],ACHAKAN-ANGRAKHU,RENT,GULABI,34,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ANGRAKHU-534[34],A-534[34],ACHAKAN-ANGRAKHU,RENT,GULABI,34,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ANGRAKHU-535[46],A-535[46],ACHAKAN-ANGRAKHU,RENT,GULABI,46,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ANGRAKHU-536[42],A-536[42],ACHAKAN-ANGRAKHU,RENT,GULABI,42,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ANGRAKHU-541[40],A-541[40],ACHAKAN-ANGRAKHU,RENT,GULABI,40,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ACHAKAN-543[42],A-543[42],ACHAKAN-ANGRAKHU,RENT,KESHARI,42,5000,,,1,KESHARI KINKHAB,,AVAILIBLE 
ANGRAKHU-545[32],A-545[32],ACHAKAN-ANGRAKHU,RENT,GULABI,32,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ANGRAKHU-546[42],A-546[42],ACHAKAN-ANGRAKHU,RENT,GULABI,42,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ANGRAKHU-551[36],A-551[36],ACHAKAN-ANGRAKHU,RENT,GULABI,36,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ACHAKAN-552[36],A-552[36],ACHAKAN-ANGRAKHU,RENT,KESHARI,36,3500,,,1,KESHARI VEL VALU,,AVAILIBLE 
ACHAKAN-554[46],A-554[46],ACHAKAN-ANGRAKHU,RENT,PICH,46,3500,,,1,PICH GULABI VELVALU,,AVAILIBLE 
ACHAKAN-555[32],A-555[32],ACHAKAN-ANGRAKHU,RENT,KESHARI,32,3500,,,1,KESHARI VEL VALU,,AVAILIBLE 
ANGRAKHU-558[34],A-558[34],ACHAKAN-ANGRAKHU,RENT,MARUN,34,7000,,,1,MARUN VELVET,,AVAILIBLE 
ANGRAKHU-559[36],A-559[36],ACHAKAN-ANGRAKHU,RENT,MARUN,36,7000,,,1,MARUN VELVET,,AVAILIBLE 
ACHAKAN-560[36],A-560[36],ACHAKAN-ANGRAKHU,RENT,ORANGE,36,3500,,,1,ORANGE MARUN TAPKI,,AVAILIBLE 
ANGRAKHU-562[44],A-562[44],ACHAKAN-ANGRAKHU,RENT,GULABI,44,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ACHAKAN-565[40],A-565[40],ACHAKAN-ANGRAKHU,RENT,PICH,40,3500,,,1,PICH ORANGE,,AVAILIBLE 
ACHAKAN-566[40],A-566[40],ACHAKAN-ANGRAKHU,RENT,GULABI,40,3500,,,1,GULABI FUL VALU,,AVAILIBLE 
ANGRAKHU-567[36],A-567[36],ACHAKAN-ANGRAKHU,RENT,PURPLE,36,7000,,,1,PURPLE AMRODARY,,AVAILIBLE 
ANGRAKHU-568[36],A-568[36],ACHAKAN-ANGRAKHU,RENT,MARUN,36,7000,,,1,MARUN VELVET,,AVAILIBLE 
ANGRAKHU-570[40],A-570[40],ACHAKAN-ANGRAKHU,RENT,MARUN,40,7000,,,1,MARUN VELVET,,AVAILIBLE 
ACHAKAN-571[38],A-571[38],ACHAKAN-ANGRAKHU,RENT,GULABI,38,3500,,,1,GULABI FUL VALU,,AVAILIBLE 
ANGRAKHU-573[38],A-573[38],ACHAKAN-ANGRAKHU,RENT,PURPLE,38,7000,,,1,PURPLE AMRODARY,,AVAILIBLE 
ANGRAKHU-574[34],A-574[34],ACHAKAN-ANGRAKHU,RENT,MARUN,34,7000,,,1,MARUN KERI DESIGN,,AVAILIBLE 
ACHAKAN-575[34],A-575[34],ACHAKAN-ANGRAKHU,RENT,GULABI,34,3500,,,1,GULABI MARUN TAPKI,,AVAILIBLE 
ANGRAKHU-576[42],A-576[42],ACHAKAN-ANGRAKHU,RENT,MARUN,42,7000,,,1,MARUN VELVET,,AVAILIBLE 
ACHAKAN-577[38],A-577[38],ACHAKAN-ANGRAKHU,RENT,GULABI,38,3500,,,1,GULABI FUL VALU,,AVAILIBLE 
ACHAKAN-578[44],A-578[44],ACHAKAN-ANGRAKHU,RENT,PICH,44,3500,,,1,PICH ORANGE VEL VALU,,AVAILIBLE 
ACHAKAN-584[34],A-584[34],ACHAKAN-ANGRAKHU,RENT,CREAM,34,3500,,,1,CREAM GOLDEN,,AVAILIBLE 
ANGRAKHU-585[36],A-585[36],ACHAKAN-ANGRAKHU,RENT,MARUN,36,7000,,,1,MARUN VELVET,,AVAILIBLE 
ANGRAKHU-586[40],A-586[40],ACHAKAN-ANGRAKHU,RENT,MARUN,40,7000,,,1,MARUN VELVET,,AVAILIBLE 
ACHAKAN-587[40],A-587[40],ACHAKAN-ANGRAKHU,RENT,PICH,40,3500,,,1,PICH ORANGE,,AVAILIBLE 
ANGRAKHU-588[38],A-588[38],ACHAKAN-ANGRAKHU,RENT,MARUN,38,7000,,,1,MARUN VELVET HATHI ,,AVAILIBLE 
ACHAKAN-590[38],A-590[38],ACHAKAN-ANGRAKHU,RENT,ORANGE,38,3500,,,1,ORANGE VELVALU,,AVAILIBLE 
ACHAKAN-591[42],A-591[42],ACHAKAN-ANGRAKHU,RENT,CREAM,42,3500,,,1,CREAM GOLDEN MARUN TAPKI,,AVAILIBLE 
ANGRAKHU-592[36],A-592[36],ACHAKAN-ANGRAKHU,RENT,MARUN,36,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ANGRAKHU-593[46],A-593[46],ACHAKAN-ANGRAKHU,RENT,MARUN,46,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ANGRAKHU-595[34][,A-595[34],ACHAKAN-ANGRAKHU,RENT,MARUN,34,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ANGRAKHU-596[34],A-596[34],ACHAKAN-ANGRAKHU,RENT,GULABI,34,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ANGRAKHU-597[40],A-597[40],ACHAKAN-ANGRAKHU,RENT,MARUN,40,7000,,,1,MARUN GALA MA WORK VALU,,AVAILIBLE 
ANGRAKHU-599[42],A-599[42],ACHAKAN-ANGRAKHU,RENT,MARUN,42,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ANGRAKHU-600[42],A-600[42],ACHAKAN-ANGRAKHU,RENT,MARUN,42,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ACHAKAN-601[40],A-601[40],ACHAKAN-ANGRAKHU,RENT,CREAM,40,3500,,,1,CREAM GOLDEN ,,AVAILIBLE 
ACHAKAN-602[40],A-602[40],ACHAKAN-ANGRAKHU,RENT,WHITE,40,3500,,,1,WHITE GOLDEN ,,AVAILIBLE 
ACHAKAN-603[44],A-603[44],ACHAKAN-ANGRAKHU,RENT,ORANGE,44,3500,,,1,ORANGE FUL,,AVAILIBLE 
ACHAKAN-604[40],A-604[40],ACHAKAN-ANGRAKHU,RENT,CREAM,40,3500,,,1,CREAM GOLDEN,,AVAILIBLE 
ACHAKAN-606[38],A-606[38],ACHAKAN-ANGRAKHU,RENT,CREAM,38,3500,,,1,SILVER CREAM FUL VALU,,AVAILIBLE 
ANGRAKHU-607[42],A-607[42],ACHAKAN-ANGRAKHU,RENT,MARUN,42,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ACHAKAN-608[42],A-608[42],ACHAKAN-ANGRAKHU,RENT,WHITE,42,3500,,,1,WHITE CREAM FUL VALU,,AVAILIBLE 
ACHAKAN-610[38],A-610[38],ACHAKAN-ANGRAKHU,RENT,CREAM,38,3500,,,1,CREAM GOLDEN VELVALU,,AVAILIBLE 
ACHAKAN-611[36],A-611[36],ACHAKAN-ANGRAKHU,RENT,CREAM,36,3500,,,1,CREAM FULVALU,,AVAILIBLE 
ACHAKAN-612[34],A-612[34],ACHAKAN-ANGRAKHU,RENT,PICH,34,3500,,,1,PICH VELVALU,,AVAILIBLE 
ANGRAKHU-613[46],A-613[46],ACHAKAN-ANGRAKHU,RENT,MARUN,46,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ANGRAKHU-614[34],A-614[34],ACHAKAN-ANGRAKHU,RENT,MARUN,34,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ANGRAKHU-616[40],A-616[40],ACHAKAN-ANGRAKHU,RENT,MARUN,40,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ANGRAKHU-618[40],A-618[40],ACHAKAN-ANGRAKHU,RENT,MARUN,40,7000,,,1,MARUN JANVALU,,AVAILIBLE 
ANGRAKHU-619[42],A-619[42],ACHAKAN-ANGRAKHU,RENT,GULABI,42,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ANGRAKHU-620[38],A-620[38],ACHAKAN-ANGRAKHU,RENT,MARUN,38,7000,,,1,MARUN JANVALU,,AVAILIBLE 
ANGRAKHU-621[42],A-621[42],ACHAKAN-ANGRAKHU,RENT,GULABI,42,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ANGRAKHU-622[34],A-622[34],ACHAKAN-ANGRAKHU,RENT,GULABI,34,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ACHAKAN-623[32],A-623[32],ACHAKAN-ANGRAKHU,RENT,WHITE,32,3500,,,1,WHITE FULVALU,,AVAILIBLE 
ACHAKAN-624[38],A-624[38],ACHAKAN-ANGRAKHU,RENT,PICH,38,3500,,,1,PICH FUL VALU,,AVAILIBLE 
ANGRAKHU-626[32],A-626[32],ACHAKAN-ANGRAKHU,RENT,MARUN,32,7000,,,1,MARUN VELVET PLANE DORI,,AVAILIBLE 
ANGRAKHU-629[36],A-629[36],ACHAKAN-ANGRAKHU,RENT,MARUN,36,7000,,,1,MARUN NEW ORANGE FULVALU,,AVAILIBLE 
ANGRAKHU-631[36],A-631[36],ACHAKAN-ANGRAKHU,RENT,MARUN,36,7000,,,1,MARUN VELVET,,AVAILIBLE 
ACHAKAN-632[34],A-632[34],ACHAKAN-ANGRAKHU,RENT,WHITE,34,3500,,,1,WHITE FULVALU,,AVAILIBLE 
ACHAKAN-633[34],A-633[34],ACHAKAN-ANGRAKHU,RENT,PICH,34,3500,,,1,PICH VELVALU,,AVAILIBLE 
ANGRAKHU-634[34],A-634[34],ACHAKAN-ANGRAKHU,RENT,MARUN,34,7000,,,1,MARUN VELVET HATHI ,,AVAILIBLE 
ACHAKAN-636[36],A-636[36],ACHAKAN-ANGRAKHU,RENT,CREAM,36,3500,,,1,CREAM FULVALU,,AVAILIBLE 
ANGRAKHU-637[42],A-637[42],ACHAKAN-ANGRAKHU,RENT,GULABI,42,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ANGRAKHU-638[44],A-638[44],ACHAKAN-ANGRAKHU,RENT,MARUN,44,7000,,,1,MARUN VELVET PLANE DORI,,AVAILIBLE 
ANGRAKHU-639[38],A-639[38],ACHAKAN-ANGRAKHU,RENT,PURPLE,38,7000,,,1,PURPLE AMRODARY,,AVAILIBLE 
ACHAKAN-640[38],A-640[38],ACHAKAN-ANGRAKHU,RENT,ORANGE,38,3500,,,1,ORANGE COLOUR,,AVAILIBLE 
ACHAKAN-641[34],A-641[34],ACHAKAN-ANGRAKHU,RENT,KESHARI,34,3500,,,1,KESHARI COLOUR,,AVAILIBLE 
ANGRAKHU-642[32],A-642[32],ACHAKAN-ANGRAKHU,RENT,MARUN,32,7000,,,1,MARUN VELVET JANVALU,,AVAILIBLE 
ACHAKAN-643[36],A-643[36],ACHAKAN-ANGRAKHU,RENT,SKYBLUE,36,3500,,,1,SKY BLUE GULABI ,,AVAILIBLE 
ANGRAKHU-644[32],A-644[32],ACHAKAN-ANGRAKHU,RENT,GULABI,32,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ACHAKAN-646[40],A-646[40],ACHAKAN-ANGRAKHU,RENT,ORANGE,40,3500,,,1,ORANGE GREEN TAPKI,,AVAILIBLE 
ANGRAKHU-647[36],A-647[36],ACHAKAN-ANGRAKHU,RENT,PURPLE,36,7000,,,1,PURPLE AMRODARY,,AVAILIBLE 
ANGRAKHU-648[42],A-648[42],ACHAKAN-ANGRAKHU,RENT,MARUN,42,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ACHAKAN-649[42],A-649[42],ACHAKAN-ANGRAKHU,RENT,CREAM,42,3500,,,1,CREAM GOLDEN MARUN TAPKI,,AVAILIBLE 
ANGRAKHU-650[38],A-650[38],ACHAKAN-ANGRAKHU,RENT,MARUN,38,7000,,,1,MARUN VELVET HATHI ,,AVAILIBLE 
ANGRAKHU-651[38],A-651[38],ACHAKAN-ANGRAKHU,RENT,MARUN,38,7000,,,1,MARUN VELVET BUTTA VALU,,AVAILIBLE 
ANGRAKHU-652[36],A-652[36],ACHAKAN-ANGRAKHU,RENT,GREEN,36,7000,,,1,GREEN VELVET HATHI,,AVAILIBLE 
ANGRAKHU-653[36],A-653[36],ACHAKAN-ANGRAKHU,RENT,PURPLE,36,7000,,,1,PURPLE AMRODARY[LONG],,AVAILIBLE 
ACHAKAN-654[38],A-654[38],ACHAKAN-ANGRAKHU,RENT,WHITE,38,3500,,,1,WHITE FULVALU,,AVAILIBLE 
ANGRAKHU-655[40],A-655[40],ACHAKAN-ANGRAKHU,RENT,GULABI,40,11000,,,1,DARK GULABI TISHYU,,AVAILIBLE 
ACHAKAN-656[36],A-656[36],ACHAKAN-ANGRAKHU,RENT,ORANGE,36,3500,,,1,LIGHT ORANGE,,AVAILIBLE 
ANGRAKHU-657[36],A-657[36],ACHAKAN-ANGRAKHU,RENT,GOLDEN,36,11000,,,1,GOLDEN TISHYU,,AVAILIBLE 
ACHAKAN-658[40],A-658[40],ACHAKAN-ANGRAKHU,RENT,GULABI,40,3500,,,1,GULABI KERI VALU,,AVAILIBLE 
ACHAKAN-659[38],A-659[38],ACHAKAN-ANGRAKHU,RENT,GULABI,38,3500,,,1,DARK GULABI,,AVAILIBLE 
ACHAKAN-660[44],A-660[44],ACHAKAN-ANGRAKHU,RENT,SKYBLUE,44,3500,,,1,SKY BLUE GULABI ,,AVAILIBLE 
ACHAKAN-661[34],A-661[34],ACHAKAN-ANGRAKHU,RENT,CREAM,34,3500,,,1,CREAM MARUN TAPKI VALU,,AVAILIBLE 
ACHAKAN-662[36],A-662[36],ACHAKAN-ANGRAKHU,RENT,CREAM,36,3500,,,1,CREAM MARUN TAPKI VALU,,AVAILIBLE 
ANGRAKHU-663[40],A-663[40],ACHAKAN-ANGRAKHU,RENT,MARUN,40,7000,,,1,MARUN VELVET ALL WORK [LONG],,AVAILIBLE 
ANGRAKHU-664[34],A-664[34],ACHAKAN-ANGRAKHU,RENT,GREEN,34,7000,,,1,GREEN VELVET HATHI,,AVAILIBLE 
ACHAKAN-665[40],A-665[40],ACHAKAN-ANGRAKHU,RENT,CREAM,40,3500,,,1,CREAM GOLDEN MARUN TAPKI,,AVAILIBLE 
ANGRAKHU-666[38],A-666[38],ACHAKAN-ANGRAKHU,RENT,GOLDEN,38,11000,,,1,GOLDEN TISHYU,,AVAILIBLE 
ACHAKAN-667[36],A-667[36],ACHAKAN-ANGRAKHU,RENT,GULABI,36,3500,,,1,LIGHT GULABI,,AVAILIBLE 
ANGRAKHU-668[38],A-668[38],ACHAKAN-ANGRAKHU,RENT,ORANGE,38,11000,,,1,ORANGE TISHYU DORI,,AVAILIBLE 
ACHAKAN-669[38],A-669[38],ACHAKAN-ANGRAKHU,RENT,CREAM,38,3500,,,1,CREAM PICH ,,AVAILIBLE 
ANGRAKHU-670[38],A-670[38],ACHAKAN-ANGRAKHU,RENT,GULABI,38,15000,,,1,GULABI TISHYU TACHAP,,AVAILIBLE 
ANGRAKHU-671[40],A-671[40],ACHAKAN-ANGRAKHU,RENT,PICH,40,15000,,,1,PICH TISHYU DIAMOND TACHAP,,AVAILIBLE 
ANGRAKHU-672[34],A-672[34],ACHAKAN-ANGRAKHU,RENT,MARUN,34,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ACHAKAN-673[40],A-673[40],ACHAKAN-ANGRAKHU,RENT,ORANGE,40,3500,,,1,ORANGE,,AVAILIBLE 
ACHAKAN-674[34],A-674[34],ACHAKAN-ANGRAKHU,RENT,CREAM,34,3500,,,1,CREAM PICH ,,AVAILIBLE 
ANGRAKHU-675[40],A-675[40],ACHAKAN-ANGRAKHU,RENT,GULABI,40,11000,,,1,DARK GULABI TISHYU,,AVAILIBLE 
ANGRAKHU-676[40],A-676[40],ACHAKAN-ANGRAKHU,RENT,GULABI,40,15000,,,1,GULABI TISHYU TACHAP,,AVAILIBLE 
ANGRAKHU-677[36],A-677[36],ACHAKAN-ANGRAKHU,RENT,GULABI,36,11000,,,1,DARK GULABI TISHYU,,AVAILIBLE 
ANGRAKHU-668[36],A-668[36],ACHAKAN-ANGRAKHU,RENT,GOLDEN,36,15000,,,1,GOLDEN TISHYU TACHAP,,AVAILIBLE 
ACHAKAN-679[34],A-679[34],ACHAKAN-ANGRAKHU,RENT,GULABI,34,3500,,,1,RANI GULABI KERI DESIGN,,AVAILIBLE 
ANGRAKHU-680[38],A-680[38],ACHAKAN-ANGRAKHU,RENT,GOLDEN,38,11000,,,1,GOLDEN TISHYU HATHI,,AVAILIBLE 
ACHAKAN-681[36],A-681[36],ACHAKAN-ANGRAKHU,RENT,GULABI,36,3500,,,1,GULABI MARUN TAPKI,,AVAILIBLE 
ACHAKAN-682[34],A-682[34],ACHAKAN-ANGRAKHU,RENT,GOLDEN,34,3500,,,1,GOLDEN MARUN TAPKI,,AVAILIBLE 
ANGRAKHU-683[38],A-683[38],ACHAKAN-ANGRAKHU,RENT,GULABI,38,11000,,,1,GULABI TISHYU HATHI,,AVAILIBLE 
ACHAKAN-684[40],A-684[40],ACHAKAN-ANGRAKHU,RENT,GOLDEN,40,3500,,,1,GOLDEN MARUN TAPKI,,AVAILIBLE 
ANGRAKHU-685[40],A-685[40],ACHAKAN-ANGRAKHU,RENT,GULABI,40,11000,,,1,GULABI TISHYU ,,AVAILIBLE 
ACHAKAN-686[38],A-686[38],ACHAKAN-ANGRAKHU,RENT,ORANGE,38,3500,,,1,ORANGE MARUN TAPKI,,AVAILIBLE 
ACHAKAN-687[34],A-687[34],ACHAKAN-ANGRAKHU,RENT,SKYBLUE,34,3500,,,1,SKY BLUE GULABI ,,AVAILIBLE 
ANGRAKHU-688[38`],A-688[38],ACHAKAN-ANGRAKHU,RENT,GULABI,38,11000,,,1,GULABI TISHYU,,AVAILIBLE 
ANGRAKHU-689[34],A-689[34],ACHAKAN-ANGRAKHU,RENT,GOLDEN,34,11000,,,1,GOLDEN TISHYU ,,AVAILIBLE 
ANGRAKHU-690[38],A-690[38],ACHAKAN-ANGRAKHU,RENT,GOLDEN,38,11000,,,1,GOLDEN TISHYU ,,AVAILIBLE 
ANGRAKHU-691[34],A-691[34],ACHAKAN-ANGRAKHU,RENT,GOLDEN,34,11000,,,1,GOLDEN TISHYU ,,AVAILIBLE 
ACHAKAN-692[34],A-692[34],ACHAKAN-ANGRAKHU,RENT,GULABI,34,3500,,,1,GULABI MARUN TAPKI,,AVAILIBLE 
ANGRAKHU-693[36],A-693[36],ACHAKAN-ANGRAKHU,RENT,PICH,36,11000,,,1,PICH TISHYU,,AVAILIBLE 
ACHAKAN-694[36],A-694[36],ACHAKAN-ANGRAKHU,RENT,GULABI,36,3500,,,1,LIGHT GULABI,,AVAILIBLE 
ANGRAKHU-695[38],A-695[38],ACHAKAN-ANGRAKHU,RENT,GULABI,38,11000,,,1,GULABI TISHYU,,AVAILIBLE 
ACHAKAN-696[38],A-696[38],ACHAKAN-ANGRAKHU,RENT,ORANGE,38,7000,,,1,ORANGE GREEN HANWORK,,AVAILIBLE 
ANGRAKHU-697[38],A-697[38],ACHAKAN-ANGRAKHU,RENT,PICH,38,11000,,,1,PICH TISHYU HATHI,,AVAILIBLE 
ACHAKAN-698[32],A-698[32],ACHAKAN-ANGRAKHU,RENT,GULABI,32,3500,,,1,GULABI MARUN TAPKI,,AVAILIBLE 
ACHAKAN-699[36],A-699[36],ACHAKAN-ANGRAKHU,RENT,ORANGE,36,3500,,,1,ORANGE MARUN TAPKI,,AVAILIBLE 
ACHAKAN-700[40],A-700[40],ACHAKAN-ANGRAKHU,RENT,CREAM,40,3500,,,1,CREAM GULABI,,AVAILIBLE 
ACHAKAN-701[36],A-701[36],ACHAKAN-ANGRAKHU,RENT,ORANGE,36,7000,,,1,ORANGE GREEN HANWORK,,AVAILIBLE 
ANGRAKHU-702[32],A-702[32],ACHAKAN-ANGRAKHU,RENT,MARUN,32,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ANGRAKHU-703[34],A-703[34],ACHAKAN-ANGRAKHU,RENT,PICH,34,11000,,,1,PICH TISHYU,,AVAILIBLE 
ACHAKAN-704[38],A-704[38],ACHAKAN-ANGRAKHU,RENT,CREAM,38,3500,,,1,CREAM MARUN TAPKI VALU,,AVAILIBLE 
ANGRAKHU-705[41],A-705[41],ACHAKAN-ANGRAKHU,RENT,GOLDEN,41,11000,,,1,GOLDEN TISHYU HATHI,,AVAILIBLE 
ACHAKAN-706[40],A-706[40],ACHAKAN-ANGRAKHU,RENT,ORANGE,40,7000,,,1,ORANGE GREEN HANWORK,,AVAILIBLE 
ANGRAKHU-707[32],A-707[32],ACHAKAN-ANGRAKHU,RENT,MARUN,32,7000,,,1,MARUN VELVET ,,AVAILIBLE 
ACHAKAN-708[40],A-708[40],ACHAKAN-ANGRAKHU,RENT,CREAM,40,3500,,,1,CREAM MARUN TAPKI VALU,,AVAILIBLE 
ANGRAKHU-709[34],A-709[34],ACHAKAN-ANGRAKHU,RENT,PURPLE,34,7000,,,1,PURPLE AMRODARY,,AVAILIBLE 
ANGRAKHU-710[44],A-710[44],ACHAKAN-ANGRAKHU,RENT,MARUN,44,7000,,,1,MARUN VELVET DORI HATHI,,AVAILIBLE 
ANGRAKHU-711[42],A-711[42],ACHAKAN-ANGRAKHU,RENT,GULABI,42,7000,,,1,GULABI VELVET HATHI,,AVAILIBLE 
ACHAKAN-712[32],A-712[32],ACHAKAN-ANGRAKHU,RENT,ORANGE,32,3500,,,1,LIGHT ORANGE FUL VALU,,AVAILIBLE 
ANGRAKHU-714[36],A-714[36],ACHAKAN-ANGRAKHU,RENT,GULABI,36,11000,,,1,GULABI TISHYU DORI VALU,,AVAILIBLE 
ANGRAKHU-715[38],A-715[38],ACHAKAN-ANGRAKHU,RENT,GOLDEN,38,15000,,,1,GOLDEN TISHYU DIAMOND TACHAP,,AVAILIBLE 
